,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
105780,2020-01-02,Melbourne,12.8,25.0,0.0,8.0,13.3,SSW,35.0,SSW,SSW,6.0,13.0,66.0,48.0,1020.3,1018.1,1.0,6.0,19.4,23.8,0,0.0,0
105781,2020-01-03,Melbourne,13.7,36.6,0.0,9.8,12.6,ESE,20.0,S,SW,7.0,9.0,62.0,41.0,1016.8,1009.4,7.0,3.0,18.9,28.5,0,0.0,0
105782,2020-01-04,Melbourne,18.6,26.8,0.0,14.4,9.8,SSW,48.0,SW,S,7.0,13.0,43.0,73.0,1008.1,1014.5,0.0,7.0,25.5,19.2,0,2.2,1
105783,2020-01-05,Melbourne,12.7,16.7,2.2,6.4,0.0,SSE,35.0,SSE,SSE,9.0,15.0,89.0,64.0,1023.8,1023.7,8.0,8.0,13.0,15.2,1,8.2,1
105785,2020-01-07,Melbourne,12.6,20.1,1.2,0.0,0.0,S,31.0,SSE,SSW,6.0,13.0,89.0,80.0,1017.8,1017.1,8.0,8.0,17.9,19.8,1,0.0,0
105786,2020-01-08,Melbourne,16.8,23.8,0.0,2.0,10.6,SSW,37.0,S,SSW,9.0,17.0,75.0,72.0,1018.8,1017.1,7.0,7.0,18.5,22.7,0,0.0,0
105787,2020-01-09,Melbourne,17.9,31.9,0.0,8.2,9.7,SSE,28.0,NNW,SSW,11.0,9.0,74.0,42.0,1016.1,1011.2,6.0,1.0,20.2,29.9,0,0.0,0
105789,2020-01-11,Melbourne,13.5,19.3,15.6,6.2,5.6,SSW,41.0,WSW,S,7.0,19.0,65.0,52.0,1017.7,1019.2,7.0,7.0,15.3,18.4,1,0.0,0
105790,2020-01-12,Melbourne,14.2,19.9,0.0,4.2,8.4,SSW,39.0,SSE,SSW,13.0,17.0,66.0,65.0,1021.5,1020.0,7.0,4.0,16.2,18.0,0,0.0,0
105794,2020-01-16,Melbourne,15.7,19.6,19.6,17.2,3.4,SSW,46.0,SSW,SSW,15.0,17.0,78.0,65.0,1012.0,1012.7,8.0,7.0,17.1,18.7,1,0.0,0
105795,2020-01-17,Melbourne,14.4,24.8,0.0,4.8,8.8,SE,50.0,SSE,SE,9.0,19.0,73.0,50.0,1012.8,1009.7,7.0,7.0,17.1,24.0,0,0.0,0
105796,2020-01-18,Melbourne,13.9,29.4,0.0,4.4,10.4,SSE,39.0,N,SSW,2.0,9.0,74.0,51.0,1010.9,1005.5,1.0,7.0,17.6,27.8,0,0.0,0
105797,2020-01-19,Melbourne,17.5,25.5,0.0,6.0,7.9,E,43.0,NNW,SSW,6.0,17.0,81.0,64.0,1006.8,1002.7,6.0,3.0,20.0,24.3,0,0.4,0
105798,2020-01-20,Melbourne,19.1,21.8,0.4,6.2,2.3,SSW,39.0,SSW,S,9.0,17.0,80.0,87.0,1004.0,1003.4,5.0,8.0,21.2,18.8,0,44.0,1
105799,2020-01-21,Melbourne,14.8,23.5,44.0,4.8,10.9,SW,33.0,W,SSW,9.0,9.0,66.0,51.0,1010.9,1008.4,2.0,1.0,16.4,21.1,1,0.0,0
105800,2020-01-22,Melbourne,14.1,31.7,0.0,7.0,3.4,N,59.0,N,N,20.0,26.0,46.0,30.0,1002.6,997.9,7.0,7.0,23.5,31.1,0,22.8,1
105801,2020-01-23,Melbourne,12.9,22.6,22.8,8.8,4.8,NNW,46.0,NNW,NNW,9.0,22.0,85.0,48.0,997.1,998.6,8.0,7.0,15.5,20.6,1,1.2,1
105802,2020-01-24,Melbourne,11.7,24.1,1.2,7.6,8.7,NNW,31.0,NNW,WNW,11.0,11.0,53.0,40.0,1011.3,1012.1,6.0,7.0,16.3,21.7,1,0.0,0
105803,2020-01-25,Melbourne,13.0,27.4,0.0,7.0,13.0,NNW,26.0,NNE,SSW,9.0,11.0,62.0,41.0,1015.2,1012.6,1.0,1.0,18.3,25.1,0,0.0,0
105804,2020-01-26,Melbourne,15.8,23.6,0.0,6.8,10.0,SSW,33.0,NE,SSE,2.0,11.0,82.0,68.0,1013.3,1014.3,3.0,7.0,19.1,21.4,0,0.0,0
105805,2020-01-27,Melbourne,12.8,23.1,0.0,6.0,10.9,SSE,30.0,N,SSW,2.0,15.0,67.0,52.0,1015.5,1014.6,7.0,7.0,17.4,22.2,0,0.0,0
105807,2020-01-29,Melbourne,15.2,31.5,0.0,4.4,13.0,SSW,19.0,NNE,S,4.0,9.0,74.0,31.0,1018.2,1015.4,1.0,1.0,18.8,28.6,0,0.0,0
105811,2020-02-02,Melbourne,14.2,25.1,14.8,4.4,9.0,NNW,31.0,NW,WNW,9.0,11.0,63.0,47.0,1012.4,1010.2,5.0,6.0,16.8,22.9,1,0.0,0
